fuID,sID,Description
LOC_TD.139_2002,PP37_2008,National (Current Regulation)
LOC_TD.139A_2002,PP37_2008,National (Current Regulation)
LOC_TD.140_2008,PP37_2008,National (Current Regulation)
LOC_TD.141_2008,PP37_2008,National (Current Regulation)
LOC_TD.142_2008,PP37_2008,National (Current Regulation)
LOC_TD.143_2002,PP37_2008,National (Current Regulation)
LOC_TD.144A_2002,PP37_2008,National (Current Regulation)
LOC_TD.144C_2002,PP37_2008,National (Current Regulation)
LOC_TD.144_2002,PP37_2008,National (Current Regulation)
LOC_TD.145_2002,PP37_2008,National (Current Regulation)
LOC_TD.146_2002,PP37_2008,National (Current Regulation)
LOC_TD.147_2002,PP37_2008,National (Current Regulation)
LOC_TD.148A_2002,PP37_2008,National (Current Regulation)
LOC_TD.148_2002,PP37_2008,National (Current Regulation)
LOC_TD.151_2002,PP37_2008,National (Current Regulation)
LOC_TD.152_2002,PP37_2008,National (Current Regulation)
LOC_TD.154A_2002,PP37_2008,National (Current Regulation)
LOC_TD.154_2002,PP37_2008,National (Current Regulation)
LOC_TD.154B_2002,PP37_2008,National (Current Regulation)
LOC_TD.155_2002,PP37_2008,National (Current Regulation)
LOC_TD.156_2002,PP37_2008,National (Current Regulation)
LOC_TD.158_2002,PP37_2008,National (Current Regulation)
LOC_TD.159_2002,PP37_2008,National (Current Regulation)
LOC_TD.161_2002,PP37_2008,National (Current Regulation)
LOC_TD.161B_2002,PP37_2008,National (Current Regulation)
LOC_TD.162_2002,PP37_2008,National (Current Regulation)
LOC_TD.164B_2002,PP37_2008,National (Current Regulation)
LOC_TD.164_2002,PP37_2008,National (Current Regulation)
LOC_TD.167_2002,PP37_2008,National (Current Regulation)
LOC_TD.168_2002,PP37_2008,National (Current Regulation)
LOC_TD.170_2002,PP37_2008,National (Current Regulation)
LOC_TD.171_2002,PP37_2008,National (Current Regulation)
LOC_TD.171C_2002,PP37_2008,National (Current Regulation)
LOC_TD.174_2002,PP37_2008,National (Current Regulation)
LOC_TD.175_2002,PP37_2008,National (Current Regulation)
LOC_TD.176A_2002,PP37_2008,National (Current Regulation)
LOC_TD.177_2002,PP37_2008,National (Current Regulation)
LOC_TD.177A_2002,PP37_2008,National (Current Regulation)
LOC_TD.178_2002,PP37_2008,National (Current Regulation)
LOC_TD.179_2002,PP37_2008,National (Current Regulation)
LOC_TD.180_2002,PP37_2008,National (Current Regulation)
LOC_TD.181_2002,PP37_2008,National (Current Regulation)
LOC_TD.181A_2002,PP37_2008,National (Current Regulation)
LOC_TD.182_2002,PP37_2008,National (Current Regulation)
LOC_TD.183_2002,PP37_2008,National (Current Regulation)
LOC_TD.184_2002,PP37_2008,National (Current Regulation)
LOC_TD.185_2002,PP37_2008,National (Current Regulation)
LOC_TD.186_2002,PP37_2008,National (Current Regulation)
LOC_TD.186A_2002,PP37_2008,National (Current Regulation)
LOC_TD.187_2002,PP37_2008,National (Current Regulation)
LOC_TD.188_2002,PP37_2008,National (Current Regulation)
LOC_TD.189_2002,PP37_2008,National (Current Regulation)
LOC_TD.190_2002,PP37_2008,National (Current Regulation)
LOC_TD.190A_2002,PP37_2008,National (Current Regulation)
LOC_TD.191_2002,PP37_2008,National (Current Regulation)
LOC_TD.191A_2002,PP37_2008,National (Current Regulation)
LOC_TD.191B_2002,PP37_2008,National (Current Regulation)
LOC_TD.192_2002,PP37_2008,National (Current Regulation)
LOC_TD.193_2002,PP37_2008,National (Current Regulation)
LOC_TD.194_2002,PP37_2008,National (Current Regulation)
LOC_TD.195_2002,PP37_2008,National (Current Regulation)
LOC_TD.001A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.022_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.023_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.024_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.025_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.026_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.028_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.029_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.030A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.030B_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.030D_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.031_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.032_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.033_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.035_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.036_2008,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.036A_2008,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.036B_2008,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.037_2008,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.039_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.040_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.043_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.044_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.044A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.044B_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.045_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.046A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.047_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.048_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.049A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.051A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.053A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.054_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.055_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.055A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.055B_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.056_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.056A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.057A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.057_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.058A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.058_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.059_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.060_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.061A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.062_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.063_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.065_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.066_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.066A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.070_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.070A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.071_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.072_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.072A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.074_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.076B_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.077_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.078_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.079_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.080_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.080A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.081_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.082_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
LOC_TD.082A_2002,DEPOSIT_INDONESIA_2009,International (Deposit to United Nations)
