saID,GM_Object,Location,BSL_Type
BSL_079,"MultiLineString ((134.90722200000004705 -6.00249999999994088, 134.81805600000006962 -5.59499999999997044))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_080,"MultiLineString ((134.91472200000009707 -6.32388899999995147, 134.90722200000004705 -6.00249999999994088))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_081,"MultiLineString ((134.83666700000003402 -6.64722199999994245, 134.91472200000009707 -6.32388899999995147))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_082,"MultiLineString ((134.7872220000000425 -6.83166699999992488, 134.83666700000003402 -6.64722199999994245))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_083,"MultiLineString ((134.69055600000001505 -7.01888899999994464, 134.7872220000000425 -6.83166699999992488))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_084,"MultiLineString ((134.67722200000002886 -7.02999999999997272, 134.69055600000001505 -7.01888899999994464))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_085,"MultiLineString ((134.5219440000000759 -7.10388899999998102, 134.67722200000002886 -7.02999999999997272))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_086,"MultiLineString ((134.47166700000002493 -7.08972199999993791, 134.5219440000000759 -7.10388899999998102))",Arafura Sea,Common Baseline (Garis Pangkal Biasa)
BSL_087,"MultiLineString ((134.19388900000001286 -6.95027799999996887, 134.47166700000002493 -7.08972199999993791))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_088,"MultiLineString ((132.84500000000002728 -6.00694399999997586, 134.19388900000001286 -6.95027799999996887))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_089,"MultiLineString ((131.98027800000011212 -7.24055599999996957, 132.84500000000002728 -6.00694399999997586))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_090,"MultiLineString ((131.72583300000007966 -7.66361099999994622, 131.98027800000011212 -7.24055599999996957))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_091,"MultiLineString ((131.30055600000002869 -8.05194399999993493, 131.72583300000007966 -7.66361099999994622))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_092,"MultiLineString ((131.28194400000006681 -8.06583299999994097, 131.30055600000002869 -8.05194399999993493))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_093,"MultiLineString ((131.12527800000009393 -8.17138899999997648, 131.28194400000006681 -8.06583299999994097))",Arafura Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_094,"MultiLineString ((130.88888900000006288 -8.3074999999999477, 131.12527800000009393 -8.17138899999997648))",Timor Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
